date,identifier,start_time,start_count,peak_time,peak_count,end_time,end_count,scpeaks0-05,multi_flare_region_flag,region_resolved_flag,flare_class,background,amplitude,mu,sigma,tau,redchisq,rsquared,snr,fluence,sigma-by-tau,flare_type,duration
20221104,20221104aq,82785.0,9.56,82965.0,101.03,83655.0,13.85,1,False,True,B1,486.17,311.52,82874.65,61.21,329.99,106.529,0.883,134.37,4331.99,0.18549046940816388,B,870.0
20221104,20221104aa,8135.0,4.08,8455.0,42.79,8785.0,4.13,6,False,True,A4,414.51,43.39,8435.23,147.99,25.0,199.63,0.571,60.91,1789.12,5.9196,A,650.0
20221104,20221104ap,80175.0,49.67,80575.0,507.6,82615.0,129.8,1,False,True,B5,434.21,2114.62,80434.14,175.5,1230.74,761.981,0.952,594.35,19913.89,0.1425971366819962,B,2440.0
20221104,20221104ao,72505.0,10.25,73475.0,103.02,75295.0,70.03,6,True,True,B1,326.08,513.42,73015.0,364.05,3518.37,189.323,0.822,292.76,7879.08,0.10347120967948227,B,2790.0
20221104,20221104an,71875.0,0.0,74915.0,20.66,75295.0,11.98,6,True,True,A2,326.08,20.89,74863.92,357.32,54.72,189.323,0.248,19.31,532.73,6.529970760233918,F,3420.0
20221104,20221104al,67835.0,98.52,67945.0,797.72,68545.0,80.52,2,True,True,B7,321.35,2834.86,67885.14,38.63,252.3,316.959,0.991,764.71,25417.4,0.15311137534680935,B,710.0
20221104,20221104am,64975.0,35.54,66105.0,137.88,69445.0,40.37,2,True,True,B1,321.35,414.99,65385.0,481.85,2512.16,316.959,0.81,881.03,23972.47,0.1918070505063372,B,4470.0
20221104,20221104ak,61795.0,9.96,62155.0,96.99,62345.0,92.12,3,False,True,A9,391.4,1295.65,61924.45,99.06,3043.35,71.219,0.965,142.96,4218.95,0.032549657449849674,B,550.0
20221104,20221104aj,58735.0,432.06,59275.0,444.71,61255.0,403.97,3,False,True,B4,0.0,469.62,58615.0,3362.39,1141.86,106.261,0.708,2342.16,48569.32,2.944660466256809,A,2520.0
20221104,20221104ai,57675.0,12.65,57935.0,28.07,58365.0,2.93,2,False,True,A2,446.31,28.59,57892.88,199.6,39.31,161.988,0.551,39.77,1204.74,5.077588399898244,A,690.0
20221104,20221104ah,51175.0,97.04,52175.0,157.67,54295.0,71.75,6,False,True,B1,306.62,285.55,51345.0,820.44,1898.6,143.02,0.868,738.77,20059.99,0.4321289371115559,B,3120.0
20221104,20221104ag,50565.0,0.0,50615.0,10.53,50735.0,1.02,1,False,True,A1,434.96,768.92,50609.96,0.31,51.44,68.973,-0.01,1.6,47.74,0.006026438569206843,F,170.0
20221104,20221104af,44815.0,0.0,47505.0,25.67,48145.0,24.79,3,True,True,A2,368.59,148855.25,47495.87,1.27,18438.72,103.078,0.584,65.16,1812.23,6.887679838947605e-05,F,3330.0
20221104,20221104ae,44815.0,0.0,47115.0,88.31,47915.0,9.04,3,True,True,A8,368.59,89.6,47048.92,369.43,64.69,103.078,0.899,275.59,7817.51,5.710774462822693,A,3100.0
20221104,20221104ad,37975.0,0.0,39745.0,254.79,40625.0,25.25,1,False,True,B2,414.2,327.75,39554.13,265.2,272.79,298.776,0.97,606.78,19158.39,0.9721763994281314,B,2650.0
20221104,20221104ac,36365.0,28.46,36455.0,63.91,36615.0,5.99,3,False,True,A6,396.58,65.8,36439.38,70.12,17.84,516.749,0.6,35.83,1040.94,3.9304932735426013,A,250.0
20221104,20221104ab,18055.0,0.0,18385.0,56.73,18565.0,5.61,2,False,True,A5,421.37,57.35,18369.76,84.13,12.21,495.797,0.501,46.52,1381.57,6.89025389025389,A,510.0
20221103,20221103aa,9895.0,20.68,10795.0,140.85,12445.0,13.98,5,False,True,B1,483.72,165.29,10966.36,584.75,144.28,1586.55,0.473,263.3,7981.56,4.0528832825062375,A,2550.0
20221103,20221103ai,73685.0,5.37,73975.0,48.63,76375.0,17.8,3,True,True,A4,345.54,596.64,73791.43,83.92,2350.88,99.071,0.75,172.94,4684.38,0.03569727080922888,B,2690.0
20221103,20221103aj,73035.0,0.0,76365.0,2.98,76375.0,2.13,3,True,True,sub-A,345.54,3.86,76008.56,285.38,29.76,99.071,-0.051,16.12,438.12,9.589381720430106,F,3340.0
